City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Tabas,IR,33.5959,56.9244,98.82,8,0,9.22,clear sky
194,Souillac,MU,-20.5167,57.5167,71.98,83,75,9.22,light rain
195,Bengkulu,ID,-3.8004,102.2655,76.71,84,100,3.83,overcast clouds
196,Olafsvik,IS,64.8945,-23.7142,51.53,71,24,7.09,few clouds
197,Mahajanga,MG,-15.7167,46.3167,82.42,47,20,10.36,few clouds
198,Botiza,RO,47.6667,24.15,65.21,67,99,2.21,overcast clouds
199,Itarema,BR,-2.9248,-39.9167,87.96,54,12,20.29,few clouds
200,Kyren,RU,51.6828,102.1408,38.66,83,9,1.61,clear sky
201,Ambilobe,MG,-13.2,49.05,73.9,59,77,3.94,broken clouds
202,Bethel,US,41.3712,-73.414,79.16,76,40,8.05,scattered clouds
203,Elko,US,41.0002,-115.5012,57.22,18,0,1.54,clear sky
204,Williston,US,48.147,-103.618,70.32,30,0,16.24,clear sky
205,Rio Grande,BR,-32.035,-52.0986,68.11,48,0,3.15,clear sky
206,San Cristobal,VE,7.7669,-72.225,78.98,70,100,7.31,overcast clouds
207,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,100,75,4.61,fog
208,Bathsheba,BB,13.2167,-59.5167,84.81,74,40,14.97,scattered clouds
209,Sambava,MG,-14.2667,50.1667,71.58,76,51,14.74,broken clouds
210,Menongue,AO,-14.6585,17.691,88.7,9,20,2.08,few clouds
211,Rocha,UY,-34.4833,-54.3333,61.39,45,0,8.93,clear sky
212,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,75,9.22,light rain
213,Geelong,AU,-38.1471,144.3607,49.06,89,100,4.61,overcast clouds
214,Abalak,RU,58.1286,68.5944,51.03,55,100,8.1,overcast clouds
215,Saint-Augustin,CA,51.226,-58.6502,68.16,57,98,10.42,overcast clouds
216,Nuuk,GL,64.1835,-51.7216,47.01,100,75,3.44,fog
217,San Patricio,US,28.017,-97.5169,80.46,93,100,7.78,overcast clouds
218,Upernavik,GL,72.7868,-56.1549,45.68,86,100,8.57,overcast clouds
219,Sitka,US,57.0531,-135.33,53.49,87,75,5.75,light rain
220,Asmara,ER,15.3333,38.9333,65.26,66,12,4.7,few clouds
221,Umm Lajj,SA,25.0213,37.2685,86.83,73,0,5.06,clear sky
222,Shenjiamen,CN,29.9576,122.298,80.06,89,100,29.35,overcast clouds
223,College,US,64.8569,-147.8028,52.59,93,100,11.5,overcast clouds
224,Qaanaaq,GL,77.484,-69.3632,38.16,99,100,9.51,overcast clouds
225,Porto Novo,BJ,6.4965,2.6036,78.62,69,68,11.61,broken clouds
226,Ushtobe,KZ,45.2514,77.9838,76.84,23,0,10.04,clear sky
227,Brigantine,US,39.4101,-74.3646,84.2,70,0,7.0,clear sky
228,Bud,US,39.447,-86.1758,74.05,94,86,7.0,overcast clouds
229,Khandyga,RU,62.6667,135.6,37.47,94,17,0.45,few clouds
230,Bandarbeyla,SO,9.4942,50.8122,78.04,79,4,30.6,clear sky
231,Pisco,PE,-13.7,-76.2167,60.85,82,75,3.44,mist
232,Champerico,GT,14.3,-91.9167,81.14,81,100,2.86,overcast clouds
233,Samarai,PG,-10.6167,150.6667,80.56,82,39,8.12,scattered clouds
234,Constitucion,CL,-35.3333,-72.4167,60.48,58,0,5.73,clear sky
235,Nakusp,CA,50.2499,-117.8023,66.54,48,99,5.75,overcast clouds
236,Luzilandia,BR,-3.4578,-42.3703,98.87,28,8,5.99,clear sky
237,Tikapur,NP,28.5,81.1333,80.22,78,49,5.88,scattered clouds
238,Morondava,MG,-20.2833,44.2833,75.67,66,0,17.65,clear sky
239,Bridgewater,CA,44.3835,-64.5155,73.67,74,55,3.44,broken clouds
240,Kahului,US,20.8947,-156.47,80.83,83,0,11.99,clear sky
241,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.09,79,99,20.49,overcast clouds
242,Mahebourg,MU,-20.4081,57.7,71.89,83,75,9.22,broken clouds
243,Lavrentiya,RU,65.5833,-171.0,39.79,84,100,11.01,overcast clouds
244,Maragogi,BR,-9.0122,-35.2225,78.4,67,84,11.92,broken clouds
245,Kemijarvi,FI,66.7131,27.4306,48.36,73,100,6.31,overcast clouds
246,Carlisle,US,40.2015,-77.1889,82.99,73,99,0.98,overcast clouds
247,Berlevag,NO,70.8578,29.0864,48.2,87,100,19.57,overcast clouds
248,Esperance,AU,-33.8667,121.9,56.52,66,9,17.34,clear sky
249,Jiaonan,CN,35.8786,119.9753,71.56,90,95,2.68,overcast clouds
250,Shimoda,JP,34.6667,138.95,76.1,86,88,6.8,overcast clouds
251,Bereda,ES,43.2686,-7.5406,74.14,51,99,9.01,overcast clouds
252,Port Hedland,AU,-20.3167,118.5667,64.45,88,0,5.75,clear sky
253,Dharchula,IN,29.85,80.5333,70.63,90,56,3.11,broken clouds
254,Goderich,CA,43.7501,-81.7165,62.92,88,100,9.22,overcast clouds
255,Zelenoborsk,RU,61.4669,64.0333,44.65,75,71,11.86,broken clouds
256,Pontivy,FR,48.0,-3.0,73.98,54,83,17.83,broken clouds
257,Sunbury,AU,-37.5833,144.7333,48.83,96,75,5.75,broken clouds
258,Saint George,US,37.1041,-113.5841,85.78,28,0,0.0,clear sky
259,Otavi,NA,-19.65,17.3333,84.9,9,0,4.21,clear sky
260,Weligama,LK,5.9667,80.4167,77.14,91,81,7.65,broken clouds
261,Whitehorse,CA,60.7161,-135.0538,38.17,81,75,2.3,broken clouds
262,Bellinzona,CH,46.1928,9.017,83.61,56,20,4.61,few clouds
263,Klaksvik,FO,62.2266,-6.589,59.92,89,85,21.56,overcast clouds
264,Pemangkat,ID,1.1667,108.9667,76.48,83,100,9.6,moderate rain
265,Nanortalik,GL,60.1432,-45.2371,47.07,86,58,0.69,broken clouds
266,Avera,US,33.194,-82.5271,81.55,72,88,9.08,overcast clouds
267,Bouna,CI,9.2667,-3.0,81.59,71,62,2.77,moderate rain
268,Padang,ID,-0.9492,100.3543,75.25,81,99,1.92,light rain
269,Luce,FR,48.4369,1.4636,85.55,45,88,8.99,overcast clouds
270,Jieshi,CN,22.8134,115.8257,82.11,65,100,13.67,overcast clouds
271,Broken Hill,AU,-31.95,141.4333,47.61,65,100,7.23,overcast clouds
272,Utraula,IN,27.3167,82.4167,86.68,58,33,1.12,scattered clouds
273,Coldwater,US,41.9403,-85.0005,70.03,94,100,5.75,mist
274,Qasigiannguit,GL,68.8193,-51.1922,43.05,82,76,1.28,broken clouds
275,Buraydah,SA,26.326,43.975,108.05,7,0,12.15,clear sky
276,Chizhou,CN,30.6578,117.4831,74.8,69,31,4.61,scattered clouds
277,Margate,GB,51.3813,1.3862,76.87,62,83,7.0,broken clouds
278,Naze,JP,28.3667,129.4833,81.52,85,100,31.76,moderate rain
279,Channel-Port Aux Basques,CA,47.5702,-59.1367,64.65,63,57,4.29,broken clouds
280,Optasi,RO,44.5833,24.65,69.76,56,28,3.6,scattered clouds
281,Natchitoches,US,31.7668,-93.1335,76.05,87,100,3.74,overcast clouds
282,Port Lincoln,AU,-34.7333,135.8667,52.2,73,100,14.41,overcast clouds
283,Simbahan,PH,6.3032,120.5836,82.94,72,86,3.2,light rain
284,Saint-Joseph,RE,-21.3667,55.6167,70.18,81,35,14.7,light rain
285,Saint Anthony,US,45.0205,-93.218,63.25,79,0,8.05,clear sky
286,Half Moon Bay,US,37.4636,-122.4286,68.86,85,0,6.91,clear sky
287,Le Mans,FR,48.0,0.2,85.93,37,0,9.22,clear sky
288,Malanje,AO,-9.5402,16.341,85.37,29,79,1.86,broken clouds
289,Okha,RU,53.5739,142.9478,55.42,94,10,8.52,clear sky
290,Sorland,NO,67.667,12.6934,55.26,76,0,5.75,clear sky
291,Lafiagi,NG,8.8667,5.4167,84.36,75,69,1.5,light rain
292,Alofi,NU,-19.0595,-169.9187,60.69,94,17,1.14,few clouds
293,Talnakh,RU,69.4865,88.3972,43.21,92,100,7.05,light rain
294,Leh,IN,34.1667,77.5833,64.29,32,98,6.08,overcast clouds
295,Pankovka,RU,58.5,31.1999,50.36,78,100,5.26,light rain
296,Monroe,US,43.1501,-77.6831,71.28,94,100,16.11,light intensity drizzle
297,Weida,DE,50.7667,12.0667,81.19,50,88,0.87,overcast clouds
298,Jiuquan,CN,39.7432,98.5174,70.63,16,25,10.54,scattered clouds
299,Lufilufi,WS,-13.8745,-171.5986,69.58,79,21,18.63,light rain
